              precision    recall  f1-score   support

           0       0.80      0.82      0.81      2150
           1       0.78      0.84      0.81      1141
           2       0.86      0.80      0.83       824
           3       0.70      0.68      0.69       278
           4       0.88      0.77      0.82       279
           5       0.71      0.65      0.68       283
           6       0.84      0.85      0.85       203
           7       0.56      0.73      0.63       149
           8       0.83      0.24      0.37       142
           9       0.49      0.36      0.42       127
          10       0.56      0.92      0.70       100
          11       0.81      0.82      0.81        83
          12       0.43      0.47      0.45        38

    accuracy                           0.78      5797
   macro avg       0.71      0.69      0.68      5797
weighted avg       0.78      0.78      0.77      5797
