              precision    recall  f1-score   support

           0       0.76      0.83      0.79      2150
           1       0.77      0.79      0.78      1141
           2       0.88      0.73      0.80       824
           3       0.66      0.68      0.67       278
           4       0.76      0.66      0.71       279
           5       0.68      0.60      0.64       283
           6       0.89      0.77      0.82       203
           7       0.53      0.63      0.58       149
           8       0.57      0.19      0.29       142
           9       0.41      0.51      0.45       127
          10       0.59      0.86      0.70       100
          11       0.84      0.80      0.81        83
          12       0.86      0.16      0.27        38

    accuracy                           0.75      5797
   macro avg       0.71      0.63      0.64      5797
weighted avg       0.75      0.75      0.74      5797
