              precision    recall  f1-score   support

           0       0.77      0.79      0.78      2150
           1       0.70      0.87      0.78      1141
           2       0.90      0.64      0.75       824
           3       0.73      0.55      0.63       278
           4       0.65      0.76      0.70       279
           5       0.72      0.49      0.59       283
           6       0.58      0.91      0.71       203
           7       0.49      0.62      0.55       149
           8       0.69      0.38      0.49       142
           9       0.39      0.33      0.36       127
          10       0.68      0.86      0.76       100
          11       0.86      0.78      0.82        83
          12       0.33      0.03      0.05        38

    accuracy                           0.73      5797
   macro avg       0.65      0.62      0.61      5797
weighted avg       0.74      0.73      0.72      5797
